# ----------------------------------------,,,,,
# STAT5243 A/B Test,,,,,
# Explore - Free Form 1,,,,,
# 20260409-20260417,,,,,
# ----------------------------------------,,,,,
,,,,,
ab_version,(not set),A,B,Total,
Event Name,Event Count,Event Count,Event Count,Event Count,
,785,762,709,2256,Total
button_click,120,314,229,663,
tab_switch,80,199,141,420,
tab_duration,75,176,132,383,
page_view,134,38,31,203,
session_start,117,37,30,184,
scroll,66,45,38,149,
first_visit,117,37,30,184,
session_duration,30,37,30,97,
ab_assignment,37,0,0,37,
user_engagement,24,33,26,83,
